type,text,core,criteria,overwrite
section,ตอนที่ 1 การเตรียมผู้ป่วย และ อุปกรณ์ (40 คะแนน),,,
item,1.1 ประกอบ face mask ขนาดที่เหมาะสม กับ self-inflating bag with reservoir  และ สั่งให้เปิดออกซิเจน ด้วยอัตรามากกว่า 10 ลิตรต่อนาทีขึ้นไป,5 3 0,2 1 0,
criteria,ประกอบ face mask ขนาดที่เหมาะสม กับ self-inflating bag with reservoir,1,,
criteria,สั่งให้เปิดออกซิเจน ด้วยอัตรามากกว่า 10 ลิตรต่อนาทีขึ้นไป,1,,
item,1.2 หนุนผ้าที่ท้ายทอย (occiput) ของหุ่น,5 0,,
sub,ไม่หนุนหรือหมุนผิดให้ 0 คะแนน,,,
item,1.3 นำ self-inflating bag with reservoir  ที่ประกอบกับ face mask แล้วครอบหน้าหุ่นให้กระชับ,5 0,,
item,1.4 เปิดทางเดินหายใจด้วยการทำ head tilt และ chin lift,10 0,,1
item,1.5 ventilation และเห็นมี Chest movement 1-1.5 นิ้ว ,10 6 0,,
sub,เมื่อผู้สอบบีบได้ 4-5 ครั้ง ให้ผู้คุมสอบแจ้งว่า O2 sat.100% ให้เริ่มใส่ Tube ได้,,,
item,สั่งให้ผู้ช่วยเตรียมท่อช่วยหายใจ laryngoscope และ suction,5 3 0,,
sub,สั่งไม่ครบให้ 3 คะแนน,,,
section,ตอนที่ 2 การใส่ Endotracheal tube (35 คะแนน),,,
item,2.1 ขอขนาด Endotracheal tube ได้เหมาะสม (เบอร์ 7 หรือ 7.5),5 3 0,,
sub,"ขอเบอร์ 6.5  หรือ 8 ให้ 3 คะแนน
ขอเบอร์อื่นหรือไม่ระบุ ได้ 0 คะแนน",,,
item,2.2 สอด blade เข้าทางขวาของปากไม่ให้เหลือส่วนของลิ้นทางด้านขวา ปัดลิ้นไปทางซ้าย,10 6 0,,
sub,ใส่ตรงกลางหรือปัดลิ้นไม่ถูกต้อง ได้ 6 คะแนน,,,
item,2.3 ออกแรงแยก laryngoscope ในแนว upward and forward 45 องศาและไม่งัด   ฟันหน้า (สังเกตจากเสียงหุ่น),10 6 0,,
sub,"ทิศทางไม่ถูกแต่ไม่งัดฟันหน้า ได้ 6 คะแนน
ถ้างัดฟันหน้าไม่ให้คะแนน",,,
item,2.4 สอดท่อเข้าทางมุมขวาของปากอย่างนุ่มนวล ยึดท่อไว้กับมุมปากขณะที่ผู้ช่วยดึง stylet ออกเมื่อปลายท่ออยู่ที่ความลึกที่ต้องการ,5 3 0,,
item,2.5 ถอน laryngoscope ออกจากปากอย่างนุ่มนวล,5 0,,
section,ตอนที่ 3 ETT confirmation (25 คะแนน),,,
item,3.1ตรวจสอบตำแหน่งของท่อช่วยหายใจด้วยการฟัง 5 จุด (five points auscultation) ,10 6 0,,
sub,ฟังไม่ครบได้ 6 คะแนน,,,
item,3.2 ถ้าใส่ ETT เข้าท้องแล้วผู้สอบไม่ใส่ใหม่,0 -50,,
sub,** ถ้าเข้าท้อง แล้วผู้สอบต้องการใส่ใหม่ สามารถทำได้ แต่ผู้สอบต้องเป็นผู้ขอเอง ผู้ประเมินห้ามแนะนำ โดยต้องเริ่มขั้นตอนตั้งแต่ข้อ 2.2 ใหม่,,,
item,3.3 ผู้ประเมินตรวจสอบความลึกของ ETT ที่มุมปาก ได้ 18-20 ซม.,5 3 0,,
sub,"ตรวจสอบแต่ไม่เหมาะสมได้ 3 คะแนน
ไม่ตรวจสอบได้ 0 คะแนน",,,
item,3.4 ยึด ETT กับมุมปาก ด้านใดด้านหนึ่ง,5 0,,
item,3.5 ติดเครื่องวัด end-tidal CO2 เข้ากับปลายท่อช่วยหายใจ,5 0,,
